city_id,x,y,route_position
0,67.6826,49.9189,0
12,86.5945,28.7374,1
4,83.8684,24.1502,2
3,79.2126,23.4084,3
5,81.0942,17.3615,4
10,81.5398,14.4614,5
24,81.6587,0.5151,6
9,72.0756,9.97933,7
8,57.4515,21.4232,8
26,46.743,7.74012,9
11,38.083,1.64149,10
29,28.0027,7.14065,11
7,2.7714,13.1283,12
28,35.2937,20.8118,13
1,40.3046,18.6195,14
15,41.4846,25.2086,15
23,51.365,31.5292,16
20,59.4124,40.5736,17
17,75.4942,46.2631,18
6,95.1047,74.0104,19
22,62.2184,94.2894,20
18,48.0467,88.3188,21
21,40.1884,87.2481,22
13,16.9517,93.9189,23
2,16.6426,93.6173,24
27,13.1899,99.1687,25
14,5.93117,55.6551,26
25,16.4053,50.7265,27
19,25.061,42.8966,28
16,50.0817,66.5854,29
