city_id,x,y,route_position
0,10.8792,85.0153,0
41,28.3141,72.7956,1
8,23.8952,66.0247,2
48,28.8963,66.0148,3
34,37.0229,63.6468,4
49,48.7329,67.8921,5
58,46.726,73.9112,6
11,43.9568,78.7772,7
52,41.1174,96.6566,8
42,53.5797,89.9898,9
15,56.3928,84.7928,10
33,58.8376,73.6073,11
35,65.3361,80.8511,12
53,70.5205,79.8963,13
46,73.7518,77.9715,14
62,86.4751,84.998,15
12,91.6461,95.5949,16
9,92.8765,79.1803,17
57,96.4775,75.2268,18
47,83.3218,70.5655,19
60,73.0144,70.3639,20
51,69.1817,57.3371,21
64,69.0235,52.2383,22
61,77.6297,59.8438,23
6,84.7851,64.245,24
26,93.7622,65.0898,25
16,88.9313,51.4147,26
54,93.6528,42.3601,27
25,84.4409,31.4618,28
40,85.4569,30.146,29
14,80.3746,8.79126,30
2,65.7622,3.68942,31
36,45.5472,9.58433,32
20,51.1019,34.9667,33
50,67.219,36.6358,34
24,60.0495,40.307,35
27,57.616,43.6258,36
1,50.2284,47.8171,37
44,53.5969,58.4694,38
21,45.667,51.5507,39
13,38.2298,50.0544,40
45,34.4438,43.3224,41
31,36.7583,42.7532,42
4,42.5159,42.2414,43
7,43.8676,32.2222,44
23,41.5951,25.8275,45
59,46.1188,20.9194,46
19,26.196,20.7227,47
39,32.1246,28.0809,48
28,25.4791,41.2187,49
37,15.9461,33.227,50
17,10.1088,32.0527,51
22,17.3036,25.0645,52
55,12.2737,5.34231,53
56,11.1391,2.7305,54
10,0.0321421,0.0619196,55
18,6.74838,9.40503,56
43,5.58736,16.3676,57
32,0.0215354,26.6513,58
38,13.5845,39.9502,59
3,6.54971,47.9738,60
63,13.0052,50.9366,61
30,7.01489,55.0979,62
5,3.74343,86.2057,63
29,1.04544,96.9976,64
